symbol,coset_index,occurrences,proportion,mapped_letter,status
F2,16,11,0.1264,E,LOCKED
C2,7,8,0.0920,N,LOCKED
F3,17,8,0.0920,I,LOCKED
A3,2,7,0.0805,A,LOCKED
B2,4,6,0.0690,S,LOCKED
H1,21,6,0.0690,O,LOCKED
B1,3,5,0.0575,H,LOCKED
C1,6,5,0.0575,U,LOCKED
D1,9,4,0.0460,F,LOCKED
B3,5,4,0.0460,R,LOCKED
E3,14,4,0.0460,L,LOCKED
F1,15,4,0.0460,T,LOCKED
G1,18,4,0.0460,G,LOCKED
G2,19,4,0.0460,D,LOCKED
H2,22,2,0.0230,Y,LOCKED
C3,8,1,0.0115,M,LOCKED
A1,0,1,0.0115,_,NULL
A2,1,1,0.0115,_,NULL
D2,10,1,0.0115,_,NULL
G3,20,1,0.0115,_,NULL
D3,11,0,0.0000,-,UNUSED
E1,12,0,0.0000,-,UNUSED
E2,13,0,0.0000,-,UNUSED
H3,23,0,0.0000,-,UNUSED
